Day Number, Weekend, DayOfWeek,Hour,Minute, CPU Util., VMs count, Throughput, Response Time, Delay Time, SLA Violation count, SLA Violation Percent, SLA Violation Time, Failed Cloudlet, Future Requests
1,1,6,10,40,50.0,4.0,101.5625,2.861015384615726,0.17012335435317272,16.0,0.24615384615384617,22.997800000004645,0.0,55.3
1,1,6,10,50,0.0,3.0,117.24137931034481,3.852973529411482,0.8656620438763096,39.0,0.5735294117647058,80.61919999999373,0.0,51.2
1,1,6,11,0,66.66666666666667,3.0,100.0,3.1714967741941256,4.284689944561784,28.0,0.45161290322580644,34.31560000002355,0.0,60.3
1,1,6,11,10,25.0,4.0,98.75,3.2113721518994853,2.101704735950695,38.0,0.4810126582278481,49.26040000005014,0.0,65.7
1,1,6,11,20,20.0,5.0,105.55555555555556,1.9997368421052095,0.62123634324447,0.0,0.0,0.0,0.0,66.0
1,1,6,11,30,20.0,5.0,102.85714285714285,1.9994444444443313,0.24625116072286518,0.0,0.0,0.0,0.0,60.4
1,1,6,11,40,0.0,5.0,100.0,2.0,0.015413879050242687,0.0,0.0,0.0,0.0,49.3
1,1,6,11,50,25.0,4.0,100.0,2.1331666666666327,0.19078811645387264,0.0,0.0,0.0,0.0,49.9
1,1,6,12,0,0.0,3.0,100.0,2.8815959183676214,2.4451146073408037,16.0,0.32653061224489793,21.434600000007777,0.0,51.5
1,1,6,12,10,50.0,4.0,98.66666666666667,2.5321567567558745,1.041920134017917,12.0,0.16216216216216217,17.106599999970058,0.0,52.0
1,1,6,12,20,20.0,5.0,100.0,2.2852119402983835,0.380621579591105,2.0,0.029850746268656716,2.999599999995553,0.0,53.0
1,1,6,12,30,20.0,5.0,101.29870129870129,2.0767948717948457,0.06126880888660255,0.0,0.0,0.0,0.0,71.7
1,1,6,12,40,0.0,4.0,0.0,0.0,0.11510370631015705,0.0,0.0,0.0,0.0,20.8
1,1,6,12,50,100.0,3.0,94.44444444444444,2.391764705882273,0.06334266457118577,6.0,0.11764705882352941,6.0,0.0,21.1
1,1,6,13,0,100.0,2.0,47.94520547945205,8.815308571428925,13.935284076548552,26.0,0.7428571428571429,210.82120000001305,0.0,58.3
1,1,6,13,10,66.66666666666667,3.0,94.23076923076923,2.407959183673428,18.036387788400823,4.0,0.08163265306122448,4.0,0.0,56.5
1,1,6,13,20,75.0,4.0,107.01754385964912,2.3929081967207373,0.5378334652146612,7.0,0.11475409836065574,7.988599999982398,0.0,50.3
1,1,6,13,30,100.0,4.0,89.47368421052632,2.313529411764666,0.23880410627967788,1.0,0.0196078431372549,1.0,0.0,54.7
1,1,6,13,40,25.0,4.0,118.64406779661016,2.7283371428569287,0.5770548484722162,16.0,0.22857142857142856,30.43399999999383,0.0,38.9
1,1,6,13,50,25.0,4.0,101.42857142857142,2.253380281690112,0.15712294807640245,2.0,0.028169014084507043,2.0,0.0,48.2
1,1,6,14,0,0.0,3.0,116.66666666666667,3.3331964285706426,1.4560853764372335,22.0,0.39285714285714285,39.6613999999754,0.0,60.0
1,1,6,14,10,25.0,4.0,119.35483870967742,2.189189189189189,0.7582431489120053,1.0,0.02702702702702703,1.0,0.0,51.0
1,1,6,14,20,0.0,4.0,102.66666666666666,2.2857142857142856,0.19520280558348577,4.0,0.05194805194805195,4.0,0.0,52.8
1,1,6,14,30,0.0,3.0,104.54545454545455,2.569682608695154,0.3374832328371507,9.0,0.1956521739130435,9.998199999987264,0.0,41.1
1,1,6,14,40,0.0,3.0,111.11111111111111,3.006066666665841,0.32628667779428094,18.0,0.3,30.378999999949883,0.0,46.7
1,1,6,14,50,100.0,3.0,84.21052631578947,2.3818187500003205,3.061388622417552,5.0,0.15625,5.218200000010256,0.0,57.9
1,1,6,15,0,75.0,4.0,94.0,2.2127659574468086,0.9696307700453436,0.0,0.0,0.0,0.0,63.8
1,1,6,15,10,0.0,4.0,107.31707317073172,2.842404545453643,0.2434716906305582,13.0,0.29545454545454547,16.076599999971222,0.0,49.1
1,1,6,15,20,0.0,4.0,102.49999999999999,2.097560975609756,0.16878986350841396,0.0,0.0,0.0,0.0,46.9
1,1,6,15,30,100.0,3.0,94.64285714285714,2.9429471698107212,1.708838602855214,16.0,0.3018867924528302,21.986199999970268,0.0,53.9
1,1,6,15,40,75.0,4.0,93.61702127659575,2.4540272727264725,0.8321886328204247,6.0,0.13636363636363635,9.998199999979988,0.0,52.6
1,1,6,15,50,0.0,4.0,101.85185185185186,2.1816363636363265,0.543399385202235,0.0,0.0,0.0,0.0,59.6
1,1,6,16,0,25.0,4.0,101.92307692307692,2.1881132075470546,0.4776688947239608,0.0,0.0,0.0,0.0,65.1
1,1,6,16,10,0.0,4.0,101.96078431372548,2.4230538461535898,0.21425344313510833,7.0,0.1346153846153846,8.999199999991106,0.0,48.3
1,1,6,16,20,0.0,4.0,103.57142857142858,2.2758517241378162,0.32729416624878377,3.0,0.05172413793103448,6.999399999993329,0.0,48.8
1,1,6,16,30,25.0,4.0,100.0,2.0,0.1500143459849149,0.0,0.0,0.0,0.0,39.8
1,1,6,16,40,0.0,3.0,105.88235294117648,5.623661111111384,0.9042432012122545,46.0,0.6388888888888888,205.81500000002416,0.0,57.1
1,1,6,16,50,66.66666666666667,3.0,102.89855072463767,3.946678873239672,2.361008940675124,40.0,0.5633802816901409,90.88660000004165,0.0,65.8
1,1,6,17,0,50.0,4.0,100.0,3.0323802816900254,0.9509477994124723,29.0,0.4084507042253521,38.30899999999383,0.0,59.3
1,1,6,17,10,0.0,4.0,100.0,3.365364285715086,0.29228618773731013,22.0,0.2619047619047619,88.5810000000638,0.0,61.5
1,1,6,17,20,75.0,4.0,100.0,2.141608955223485,0.4134568365121811,2.0,0.029850746268656716,2.499599999995553,0.0,63.1
1,1,6,17,30,50.0,4.0,97.6470588235294,2.6075783132536707,0.2671450828296335,16.0,0.1927710843373494,24.3214000000371,0.0,66.5
1,1,6,17,40,50.0,4.0,96.22641509433963,2.2745098039215685,0.5216503919242469,3.0,0.058823529411764705,3.0,0.0,61.8
1,1,6,17,50,0.0,4.0,100.0,2.2439024390243905,1.0966898865713213,1.0,0.024390243902439025,1.0,0.0,66.9
1,1,6,18,0,40.0,5.0,100.0,1.999772727272681,0.1857192167563419,0.0,0.0,0.0,0.0,47.3
1,1,6,18,10,50.0,4.0,97.14285714285714,2.176470588235294,0.2855319317217448,0.0,0.0,0.0,0.0,61.8
1,1,6,18,20,25.0,4.0,100.0,2.318840579710145,0.17863143016798477,5.0,0.07246376811594203,5.0,0.0,58.6
1,1,6,18,30,33.333333333333336,3.0,126.0,4.472530158733236,0.9314779803511165,30.0,0.47619047619047616,118.77100000013888,0.0,53.2
1,1,6,18,40,0.0,3.0,100.0,6.030063888889749,1.3880433513440924,48.0,0.6666666666666666,231.11080000008224,0.0,60.1
1,1,6,18,50,25.0,4.0,97.22222222222221,2.2857142857142856,1.654965234338931,1.0,0.02857142857142857,1.0,0.0,46.4
1,1,6,19,0,0.0,5.0,104.44444444444446,1.9995744680853293,0.042287167119005445,0.0,0.0,0.0,0.0,39.1
1,1,6,19,10,0.0,4.0,113.63636363636364,2.491599999999453,0.39473959226542676,6.0,0.12,12.581199999985984,0.0,44.6
1,1,6,19,20,25.0,4.0,98.27586206896551,2.212428070176158,0.11300048927200075,3.0,0.05263157894736842,2.9994000000151573,0.0,50.5
1,1,6,19,30,100.0,3.0,92.64705882352942,3.2903746031755987,1.802096800167697,20.0,0.31746031746031744,44.30520000004617,0.0,56.5
1,1,6,19,40,0.0,4.0,100.0,2.0510256410257752,0.9142500989034934,0.0,0.0,0.0,0.0,47.7
1,1,6,19,50,25.0,4.0,97.82608695652173,2.0444444444444443,0.046309849383503,0.0,0.0,0.0,0.0,40.2
1,1,6,20,0,66.66666666666667,3.0,96.15384615384616,4.09794800000207,0.505534046528635,30.0,0.6,70.78760000009788,0.0,43.6
1,1,6,20,10,33.333333333333336,3.0,96.66666666666667,2.103448275862069,0.5279851130140482,0.0,0.0,0.0,0.0,38.6
1,1,6,20,20,0.0,3.0,118.96551724137932,3.412515942031135,1.4610900060347987,21.0,0.30434782608695654,57.358200000046054,0.0,60.4
1,1,6,20,30,0.0,4.0,102.17391304347827,2.0,0.3015292073327366,0.0,0.0,0.0,0.0,46.9
1,1,6,20,40,25.0,4.0,98.0,2.571093877554724,0.42183662484864576,10.0,0.20408163265306123,9.998200000060024,0.0,46.9
1,1,6,20,50,0.0,4.0,102.27272727272727,2.493248888889664,0.16181969121248577,8.0,0.17777777777777778,10.107400000008056,0.0,53.6
1,1,6,21,0,0.0,3.0,100.0,2.1379310344827585,0.6744519588079427,0.0,0.0,0.0,0.0,49.4
1,1,6,21,10,0.0,3.0,100.0,3.0084468749987536,2.3487325467032347,21.0,0.328125,27.323399999950198,0.0,64.7
1,1,6,21,20,25.0,4.0,100.0,3.0256235294110785,0.628866363017505,31.0,0.36470588235294116,39.23319999992964,0.0,63.9
1,1,6,21,30,50.0,4.0,100.0,2.314181249997091,0.38718299297495734,6.0,0.09375,6.999199999976554,0.0,57.2
1,1,6,21,40,0.0,4.0,100.0,3.856890000001537,0.29283900869530805,35.0,0.5833333333333334,74.3134000000864,0.0,54.1
1,1,6,21,50,0.0,4.0,100.0,2.0,0.5998456308883094,0.0,0.0,0.0,0.0,54.6
1,1,6,22,0,25.0,4.0,97.36842105263158,3.1369459459495594,0.2510210383526394,24.0,0.32432432432432434,44.08900000024005,0.0,55.7
1,1,6,22,10,0.0,4.0,100.0,2.4657307692317634,0.2732023798569559,6.0,0.11538461538461539,6.99920000002021,0.0,52.4
1,1,6,22,20,25.0,4.0,100.0,2.8262557377055915,0.4085376043665153,19.0,0.3114754098360656,27.19520000006014,0.0,65.4
1,1,6,22,30,0.0,4.0,100.0,2.2902923076947515,0.6302913644254042,7.0,0.08974358974358974,6.108600000035949,0.0,52.8
1,1,6,22,40,50.0,4.0,95.83333333333334,2.0432608695653314,0.4890324760646043,0.0,0.0,0.0,0.0,48.9
1,1,6,22,50,0.0,4.0,100.0,2.3823529411764706,0.16892434374785734,3.0,0.04411764705882353,3.0,0.0,51.9
1,1,6,23,0,0.0,3.0,104.54545454545455,3.886698550724364,1.1158892015825987,41.0,0.5942028985507246,84.97519999998622,0.0,56.4
1,1,6,23,10,75.0,4.0,95.94594594594594,2.965154929575592,0.5311359361821836,22.0,0.30985915492957744,39.1965999998647,0.0,46.7
1,1,6,23,20,75.0,4.0,95.58823529411765,2.0923076923076924,0.28511575335858674,0.0,0.0,0.0,0.0,54.6
1,1,6,23,30,100.0,4.0,90.0,3.4966222222197785,0.13645536821812188,35.0,0.5555555555555556,53.07599999992817,0.0,57.2
1,1,6,23,40,66.66666666666667,3.0,108.10810810810811,2.699940000000788,1.57727938464994,8.0,0.2,7.998400000011316,0.0,49.9
1,1,6,23,50,50.0,4.0,100.0,2.3804761904764398,1.1063189251573788,4.0,0.09523809523809523,4.0,0.0,43.1
2,1,7,0,0,0.0,5.0,100.0,2.076923076923077,0.46127767016752225,0.0,0.0,0.0,0.0,33.8
