DayOfWeek,Hour,Minute,Requests, Requests Length
6,5,34,25.0,125000
6,5,35,17.0,85000
6,5,36,29.0,145000
6,5,37,18.0,90000
6,5,38,12.0,60000
6,5,39,17.0,85000
6,5,40,25.0,125000
6,5,41,23.0,115000
6,5,42,26.0,130000
6,5,43,18.0,90000
6,5,44,38.0,190000
6,5,45,23.0,115000
6,5,46,32.0,160000
6,5,47,42.0,210000
6,5,48,27.0,135000
6,5,49,19.0,95000
6,5,50,26.0,130000
6,5,51,36.0,180000
6,5,52,30.0,150000
6,5,53,11.0,55000
6,5,54,12.0,60000
6,5,55,18.0,90000
6,5,56,19.0,95000
6,5,57,25.0,125000
6,5,58,31.0,155000
6,5,59,34.0,170000
6,6,0,30.0,150000
6,6,1,16.0,80000
6,6,2,22.0,110000
6,6,3,37.0,185000
6,6,4,29.0,145000
6,6,5,23.0,115000
6,6,6,19.0,95000
6,6,7,33.0,165000
6,6,8,37.0,185000
6,6,9,44.0,220000
6,6,10,34.0,170000
6,6,11,26.0,130000
6,6,12,11.0,55000
6,6,13,7.0,35000
6,6,14,14.0,70000
6,6,15,21.0,105000
6,6,16,16.0,80000
6,6,17,10.0,50000
6,6,18,21.0,105000
6,6,19,22.0,110000
6,6,20,22.0,110000
6,6,21,30.0,150000
6,6,22,24.0,120000
6,6,23,25.0,125000
6,6,24,40.0,200000
6,6,25,32.0,160000
6,6,26,25.0,125000
6,6,27,18.0,90000
6,6,28,30.0,150000
6,6,29,44.0,220000
6,6,30,37.0,185000
6,6,31,32.0,160000
6,6,32,41.0,205000
6,6,33,35.0,175000
6,6,34,30.0,150000
6,6,35,20.0,100000
6,6,36,25.0,125000
6,6,37,29.0,145000
6,6,38,18.0,90000
6,6,39,28.0,140000
6,6,40,44.0,220000
6,6,41,34.0,170000
6,6,42,33.0,165000
6,6,43,21.0,105000
6,6,44,12.0,60000
6,6,45,15.0,75000
6,6,46,33.0,165000
6,6,47,31.0,155000
6,6,48,9.0,45000
6,6,49,22.0,110000
6,6,50,30.0,150000
6,6,51,30.0,150000
6,6,52,36.0,180000
6,6,53,28.0,140000
6,6,54,33.0,165000
6,6,55,20.0,100000
6,6,56,18.0,90000
6,6,57,18.0,90000
6,6,58,8.0,40000
6,6,59,16.0,80000
6,7,0,10.0,50000
6,7,1,26.0,130000
6,7,2,13.0,65000
6,7,3,12.0,60000
6,7,4,14.0,70000
6,7,5,21.0,105000
6,7,6,14.0,70000
6,7,7,21.0,105000
6,7,8,20.0,100000
6,7,9,10.0,50000
6,7,10,15.0,75000
6,7,11,16.0,80000
6,7,12,26.0,130000
6,7,13,45.0,225000
6,7,14,27.0,135000
6,7,15,21.0,105000
6,7,16,13.0,65000
6,7,17,25.0,125000
6,7,18,17.0,85000
6,7,19,18.0,90000
6,7,20,18.0,90000
6,7,21,14.0,70000
6,7,22,24.0,120000
6,7,23,30.0,150000
6,7,24,25.0,125000
6,7,25,16.0,80000
6,7,26,14.0,70000
6,7,27,29.0,145000
6,7,28,23.0,115000
6,7,29,27.0,135000
6,7,30,32.0,160000
6,7,31,24.0,120000
6,7,32,34.0,170000
6,7,33,37.0,185000
6,7,34,23.0,115000
6,7,35,28.0,140000
6,7,36,22.0,110000
6,7,37,32.0,160000
6,7,38,17.0,85000
6,7,39,24.0,120000
6,7,40,14.0,70000
6,7,41,30.0,150000
6,7,42,17.0,85000
6,7,43,33.0,165000
6,7,44,61.0,305000
6,7,45,40.0,200000
6,7,46,30.0,150000
6,7,47,26.0,130000
6,7,48,26.0,130000
6,7,49,16.0,80000
6,7,50,20.0,100000
6,7,51,28.0,140000
6,7,52,71.0,355000
6,7,53,48.0,240000
6,7,54,33.0,165000
6,7,55,32.0,160000
6,7,56,34.0,170000
6,7,57,40.0,200000
6,7,58,21.0,105000
6,7,59,20.0,100000
6,8,0,50.0,250000
6,8,1,30.0,150000
6,8,2,41.0,205000
6,8,3,43.0,215000
6,8,4,40.0,200000
6,8,5,46.0,230000
6,8,6,33.0,165000
6,8,7,17.0,85000
6,8,8,5.0,25000
6,8,9,17.0,85000
6,8,10,20.0,100000
6,8,11,22.0,110000
6,8,12,33.0,165000
6,8,13,20.0,100000
6,8,14,25.0,125000
6,8,15,36.0,180000
6,8,16,35.0,175000
6,8,17,23.0,115000
6,8,18,22.0,110000
6,8,19,42.0,210000
6,8,20,42.0,210000
6,8,21,50.0,250000
6,8,22,52.0,260000
6,8,23,53.0,265000
6,8,24,40.0,200000
6,8,25,38.0,190000
6,8,26,66.0,330000
6,8,27,40.0,200000
6,8,28,31.0,155000
6,8,29,35.0,175000
6,8,30,33.0,165000
6,8,31,22.0,110000
6,8,32,19.0,95000
6,8,33,26.0,130000
6,8,34,42.0,210000
6,8,35,31.0,155000
6,8,36,22.0,110000
6,8,37,32.0,160000
6,8,38,19.0,95000
6,8,39,37.0,185000
6,8,40,43.0,215000
6,8,41,31.0,155000
6,8,42,31.0,155000
6,8,43,33.0,165000
6,8,44,39.0,195000
6,8,45,30.0,150000
6,8,46,20.0,100000
6,8,47,33.0,165000
6,8,48,41.0,205000
6,8,49,35.0,175000
6,8,50,42.0,210000
6,8,51,31.0,155000
6,8,52,34.0,170000
6,8,53,29.0,145000
6,8,54,35.0,175000
6,8,55,19.0,95000
6,8,56,24.0,120000
6,8,57,22.0,110000
6,8,58,38.0,190000
6,8,59,24.0,120000
6,9,0,13.0,65000
6,9,1,20.0,100000
6,9,2,16.0,80000
6,9,3,15.0,75000
6,9,4,24.0,120000
6,9,5,17.0,85000
6,9,6,28.0,140000
6,9,7,36.0,180000
6,9,8,33.0,165000
6,9,9,15.0,75000
6,9,10,40.0,200000
6,9,11,16.0,80000
6,9,12,29.0,145000
6,9,13,22.0,110000
6,9,14,22.0,110000
6,9,15,21.0,105000
6,9,16,21.0,105000
6,9,17,28.0,140000
6,9,18,23.0,115000
6,9,19,34.0,170000
6,9,20,38.0,190000
6,9,21,27.0,135000
6,9,22,37.0,185000
6,9,23,31.0,155000
6,9,24,50.0,250000
6,9,25,45.0,225000
6,9,26,54.0,270000
6,9,27,58.0,290000
6,9,28,34.0,170000
6,9,29,40.0,200000
6,9,30,36.0,180000
6,9,31,35.0,175000
6,9,32,50.0,250000
6,9,33,60.0,300000
6,9,34,29.0,145000
6,9,35,30.0,150000
6,9,36,22.0,110000
6,9,37,52.0,260000
6,9,38,31.0,155000
6,9,39,61.0,305000
6,9,40,33.0,165000
6,9,41,33.0,165000
6,9,42,43.0,215000
6,9,43,38.0,190000
6,9,44,23.0,115000
6,9,45,30.0,150000
6,9,46,33.0,165000
6,9,47,57.0,285000
6,9,48,53.0,265000
6,9,49,23.0,115000
6,9,50,43.0,215000
6,9,51,29.0,145000
6,9,52,56.0,280000
6,9,53,37.0,185000
6,9,54,40.0,200000
6,9,55,30.0,150000
6,9,56,38.0,190000
6,9,57,59.0,295000
6,9,58,48.0,240000
6,9,59,36.0,180000
6,10,0,34.0,170000
6,10,1,37.0,185000
6,10,2,37.0,185000
6,10,3,44.0,220000
6,10,4,33.0,165000
6,10,5,38.0,190000
6,10,6,71.0,355000
6,10,7,40.0,200000
6,10,8,57.0,285000
6,10,9,72.0,360000
6,10,10,50.0,250000
6,10,11,65.0,325000
6,10,12,64.0,320000
6,10,13,35.0,175000
6,10,14,42.0,210000
6,10,15,37.0,185000
6,10,16,46.0,230000
6,10,17,26.0,130000
6,10,18,49.0,245000
6,10,19,46.0,230000
6,10,20,44.0,220000
6,10,21,53.0,265000
6,10,22,36.0,180000
6,10,23,27.0,135000
6,10,24,35.0,175000
6,10,25,65.0,325000
6,10,26,50.0,250000
6,10,27,44.0,220000
6,10,28,47.0,235000
6,10,29,49.0,245000
6,10,30,39.0,195000
6,10,31,41.0,205000
6,10,32,63.0,315000
6,10,33,50.0,250000
6,10,34,57.0,285000
6,10,35,53.0,265000
6,10,36,57.0,285000
6,10,37,38.0,190000
6,10,38,75.0,375000
6,10,39,55.0,275000
6,10,40,64.0,320000
6,10,41,44.0,220000
6,10,42,58.0,290000
6,10,43,52.0,260000
6,10,44,44.0,220000
6,10,45,35.0,175000
6,10,46,61.0,305000
6,10,47,52.0,260000
6,10,48,40.0,200000
6,10,49,68.0,340000
6,10,50,58.0,290000
6,10,51,72.0,360000
6,10,52,67.0,335000
6,10,53,81.0,405000
6,10,54,67.0,335000
6,10,55,53.0,265000
6,10,56,42.0,210000
6,10,57,54.0,270000
6,10,58,34.0,170000
6,10,59,71.0,355000
6,11,0,62.0,310000
6,11,1,66.0,330000
6,11,2,65.0,325000
6,11,3,56.0,280000
6,11,4,82.0,410000
6,11,5,68.0,340000
6,11,6,49.0,245000
6,11,7,62.0,310000
6,11,8,64.0,320000
6,11,9,65.0,325000
6,11,10,80.0,400000
6,11,11,70.0,350000
6,11,12,69.0,345000
6,11,13,72.0,360000
6,11,14,43.0,215000
6,11,15,72.0,360000
6,11,16,79.0,395000
6,11,17,90.0,450000
6,11,18,78.0,390000
6,11,19,51.0,255000
6,11,20,36.0,180000
6,11,21,63.0,315000
6,11,22,85.0,425000
6,11,23,60.0,300000
6,11,24,59.0,295000
6,11,25,87.0,435000
6,11,26,55.0,275000
6,11,27,59.0,295000
6,11,28,60.0,300000
6,11,29,41.0,205000
6,11,30,35.0,175000
6,11,31,50.0,250000
6,11,32,59.0,295000
6,11,33,49.0,245000
6,11,34,54.0,270000
6,11,35,37.0,185000
6,11,36,32.0,160000
6,11,37,44.0,220000
6,11,38,54.0,270000
6,11,39,55.0,275000
6,11,40,59.0,295000
6,11,41,33.0,165000
6,11,42,51.0,255000
6,11,43,44.0,220000
6,11,44,48.0,240000
6,11,45,49.0,245000
6,11,46,68.0,340000
6,11,47,31.0,155000
6,11,48,57.0,285000
6,11,49,58.0,290000
6,11,50,60.0,300000
6,11,51,57.0,285000
6,11,52,50.0,250000
6,11,53,32.0,160000
6,11,54,42.0,210000
6,11,55,54.0,270000
6,11,56,74.0,370000
6,11,57,59.0,295000
6,11,58,48.0,240000
6,11,59,50.0,250000
6,12,0,49.0,245000
6,12,1,55.0,275000
6,12,2,54.0,270000
6,12,3,57.0,285000
6,12,4,45.0,225000
6,12,5,49.0,245000
6,12,6,38.0,190000
6,12,7,49.0,245000
6,12,8,51.0,255000
6,12,9,47.0,235000
6,12,10,75.0,375000
6,12,11,68.0,340000
6,12,12,58.0,290000
6,12,13,50.0,250000
6,12,14,45.0,225000
6,12,15,52.0,260000
6,12,16,46.0,230000
6,12,17,32.0,160000
6,12,18,61.0,305000
6,12,19,51.0,255000
6,12,20,67.0,335000
6,12,21,59.0,295000
6,12,22,64.0,320000
6,12,23,50.0,250000
6,12,24,93.0,465000
6,12,25,46.0,230000
6,12,26,57.0,285000
6,12,27,78.0,390000
6,12,28,98.0,490000
6,12,29,95.0,475000
6,12,30,77.0,385000
6,12,31,57.0,285000
6,12,32,30.0,150000
6,12,33,28.0,140000
6,12,34,42.0,210000
6,12,35,41.0,205000
6,12,36,4.0,20000
6,12,37,4.0,20000
6,12,38,2.0,10000
6,12,39,0.0,0
6,12,40,0.0,0
6,12,41,1.0,5000
6,12,42,0.0,0
6,12,43,0.0,0
6,12,44,0.0,0
6,12,45,0.0,0
6,12,46,1.0,5000
6,12,47,8.0,40000
6,12,48,69.0,345000
6,12,49,78.0,390000
6,12,50,54.0,270000
6,12,51,54.0,270000
6,12,52,71.0,355000
6,12,53,57.0,285000
6,12,54,67.0,335000
6,12,55,53.0,265000
